,Date,Time,contact,Message
0,2019-09-21,1:51 PM,Success,wen r u returning?
1,2019-09-21,9:11 PM,Mina,I'm back
2,2019-09-24,1:30 PM,Mina,Come n close the door well
3,2019-09-24,1:31 PM,Success,alright
4,2019-09-24,2:40 PM,Mina,Bring the sim cards before it gets missing. The merchant sim is in it
5,2019-09-24,2:41 PM,Success,there was an empty slot so i didnt remove any sim
6,2019-09-24,8:53 PM,Success,in town asking i wanted to ask if u had eaten
7,2019-09-24,8:56 PM,Mina,I don't feel like eating
8,2019-09-24,8:56 PM,Mina,I haven't eaten the whole day
9,2019-09-24,8:57 PM,Success,wow🙆‍♂🙆‍♂
10,2019-09-24,8:58 PM,Success,but remember u definately have to take sometin b4 u sleep
11,2019-09-24,8:58 PM,Success,its very neccessary
12,2019-09-24,8:58 PM,Success,the hunger can also give u other complications
13,2019-09-24,9:09 PM,Mina,You called me
14,2019-09-24,9:16 PM,Success,yh u missed an earlier call before u answered the second time
15,2019-09-24,9:31 PM,Success,oh how😂🙆‍♂
16,2019-09-25,12:47 PM,Mina,Won't u go for the class
17,2019-09-26,4:25 PM,Success,closed
18,2019-09-27,12:01 PM,,"Success: I'm inviting you to join Clout Bucks, a site that lets you earn money with social media. I just earned $25.00 and you can too! Sign up today for a $25 bonus! https://share.cloutbucks.com/stephen12345"
19,2019-09-27,3:10 PM,Mina,Nana
20,2019-09-27,3:10 PM,Mina,How far
21,2019-09-27,3:12 PM,Success,same old story
22,2019-09-27,3:15 PM,Success,they r still waiting for the tin numbrr
23,2019-09-27,3:19 PM,Mina,Ah really🤦‍♀
24,2019-09-27,3:19 PM,Mina,So where are you now
25,2019-09-27,3:19 PM,Success,omw bck
26,2019-09-27,3:19 PM,Success,🙌🙌
27,2019-09-27,3:20 PM,Mina,😂😂😂
28,2019-09-27,3:20 PM,Success,🤝🤝🤝🤝
29,2019-09-27,3:20 PM,Mina,I have $100 now
30,2019-09-27,3:20 PM,Success,that's more i like it
31,2019-09-27,3:20 PM,Success,seriously?🙄🙄
32,2019-09-27,3:23 PM,Mina,True oo
33,2019-09-27,3:23 PM,Success,wow just now
34,2019-09-27,3:23 PM,Success,🙌🙌🙌👊
35,2019-09-27,3:28 PM,Mina,Meboa oo😆
36,2019-09-27,3:29 PM,Success,ahhh
37,2019-09-27,3:30 PM,Mina,I have $49 now
38,2019-09-27,3:31 PM,Success,i hv 41😂😂😂🙆‍♂
39,2019-09-27,3:31 PM,Mina,😆
40,2019-09-27,3:34 PM,Success,do wild
41,2019-09-27,4:37 PM,Mina,Oh Nana
42,2019-09-27,4:37 PM,Mina,They're having graduation something in the class oo
43,2019-09-27,4:42 PM,Success,Then return
44,2019-09-27,4:43 PM,Mina,It's raining
45,2019-09-27,4:43 PM,Success,Wait wen it's done
46,2019-09-27,4:44 PM,Mina,Hmm
47,2019-09-27,4:44 PM,Mina,I'm Hungry oo herh
48,2019-09-27,4:46 PM,Success,Me saf
49,2019-09-27,4:47 PM,Mina,😫😫😫
50,2019-09-27,4:47 PM,Mina,Eii what have u eaten today?
51,2019-09-27,4:54 PM,Success,Will u get to go today?
52,2019-09-27,4:54 PM,Success,Some drink I bought on the way
53,2019-09-27,4:54 PM,Mina,No
54,2019-09-27,4:54 PM,Mina,Oh Charlie😫
